quarter,date,cap_adjusted_bn,cap_broad_bn,etf_bn,cef_bn,gdp_bn_saar,buffett_adjusted,buffett_broad
2003Q1,2003-03-31,9827.85,10095.861,100.831,167.18,11174.129,87.95182156926951,90.35031723725402
2003Q2,2003-06-30,11404.107,11716.408,121.572,190.729,11312.766,100.80741526873268,103.56802217954478
2003Q3,2003-09-30,11846.417,12170.613,119.753,204.443,11566.669,102.41857011729132,105.22141681412342
2003Q4,2003-12-31,13250.033,13616.926,150.983,215.91,11772.234,112.55325879522952,115.66985501647349
2004Q1,2004-03-31,13628.93,14025.056,161.704,234.422,11923.447,114.30360700223686,117.62585098084472
2004Q2,2004-06-30,13756.619999999999,14171.603,178.537,236.446,12112.815,113.57079258619899,116.99677572884583
2004Q3,2004-09-30,13466.958,13893.224,181.392,244.874,12305.307,109.44024395327966,112.90432656414016
2004Q4,2004-12-31,14780.528999999999,15263.523,227.539,255.455,12527.214,117.98735936018974,121.84291734778378
2005Q1,2005-03-31,14372.835,14865.668,231.307,261.526,12767.286,112.57549176857164,116.43561521219154
2005Q2,2005-06-30,14660.304999999998,15177.196,245.299,271.592,12922.656,113.44653142511878,117.44641349270614
2005Q3,2005-09-30,15152.648,15693.319,262.858,277.813,13142.642,115.29377426547873,119.4076426946728
2005Q4,2005-12-31,15357.556,15934.857,300.819,276.482,13324.204,115.26058892523712,119.59331304143947
2006Q1,2006-03-31,16114.358,16725.009,329.207,281.444,13599.16,118.49524529456231,122.9856035225705
2006Q2,2006-06-30,15626.626,16253.386,345.705,281.055,13753.424,113.61989567107071,118.17701541085333
2006Q3,2006-09-30,16159.359,16808.845,361.698,287.788,13870.188,116.50425358329679,121.18685774122167
2006Q4,2006-12-31,17172.878,17894.538,422.55,299.11,14039.56,122.31777918966122,127.457968768252
2007Q1,2007-03-31,17273.682000000004,18031.237,444.26,313.295,14215.651,121.51171972356387,126.84074053309273
2007Q2,2007-06-30,18051.507,18861.542,485.926,324.109,14402.082,125.33956548782322,130.963995344562
2007Q3,2007-09-30,17996.977,18876.78,551.101,328.702,14564.117,123.57067029878982,129.61156519135352
2007Q4,2007-12-31,17097.868000000002,18022.425,608.422,316.135,14715.058,116.19300447201772,122.47607178986314
2008Q1,2008-03-31,15381.121000000001,16244.189,571.108,291.96,14706.538,104.58695989498004,110.45556064928402
2008Q2,2008-06-30,14993.503999999999,15850.97,578.066,279.4,14865.701,100.85971727804831,106.6278004649764
2008Q3,2008-09-30,13692.529,14503.919,579.509,231.881,14898.999,91.90234189558642,97.348278229967
2008Q4,2008-12-31,10707.458,11423.842,531.286,185.098,14608.209,73.29754112910076,78.20152354063389
2009Q1,2009-03-31,9455.092999999999,10116.82,482.019,179.708,14430.902,65.51976446101567,70.10525052418761
2009Q2,2009-06-30,11019.17,11808.6,590.338,199.092,14381.236,76.62185642457992,82.11116207257845
2009Q3,2009-09-30,12851.994,13765.992,693.376,220.622,14448.882,88.94801687770723,95.27375197610445
2009Q4,2009-12-31,13446.209,14447.744,777.128,224.407,14651.249,91.775172205455,98.61100579206592
2010Q1,2010-03-31,14283.424,15319.101,805.364,230.313,14764.61,96.74095015039342,103.75554112164154
2010Q2,2010-06-30,12722.453,13718.124,772.206,223.465,14980.193,84.92849858476457,91.57508184307105
2010Q3,2010-09-30,14047.508,15170.467,882.745,240.214,15141.607,92.77422138878654,100.19060064100198
2010Q4,2010-12-31,15620.469000000001,16851.842,991.989,239.384,15309.474,102.03138919077168,110.07459825203661
